"year","sockeye","coho","pink","chum","area"
1900,2049011,297555,4321349,32952,"southeast"
1901,1363825,281440,7525090,NA,"southeast"
1902,2076647,235461,8100699,NA,"southeast"
1903,2060581,653569,5528547,NA,"southeast"
1904,3416470,517856,5178207,358378,"southeast"
1905,2610549,398981,3060358,1660981,"southeast"
1906,2620860,659220,7036374,1374459,"southeast"
1907,2201071,502646,11973899,1354929,"southeast"
1908,2544671,457860,13592326,1824637,"southeast"
1909,2791461,332376,9497508,699381,"southeast"
1910,2986886,646065,9425310,1996840,"southeast"
1911,2896988,901838,21408907,2784721,"southeast"
1912,3018060,1099442,22011191,5342331,"southeast"
1913,2218591,577189,25295606,2459777,"southeast"
1914,3501203,914809,12567376,5444154,"southeast"
1915,2825543,870535,30351380,3593040,"southeast"
1916,2381350,1587607,19940350,4741634,"southeast"
1917,2622899,1469396,40327465,6851774,"southeast"
1918,2821198,1629366,39287711,9352573,"southeast"
1919,3262799,1804055,24330891,9268489,"southeast"
1920,2743624,1148051,18121431,8613368,"southeast"
1921,1498933,911568,7735444,1846832,"southeast"
1922,1900123,1258885,24001889,3728616,"southeast"
1923,2410357,1342071,39879249,3912562,"southeast"
1924,2506115,1214898,30029343,7266500,"southeast"
1925,1843518,1211862,28246398,8188085,"southeast"
1926,2044708,1184658,32193383,6105808,"southeast"
1927,1444563,1284537,8163332,2219770,"southeast"
1928,1350871,2159409,36051196,4871346,"southeast"
1929,1901461,1368442,21848494,2626905,"southeast"
1930,2587439,1998507,43483232,2708504,"southeast"
1931,1823085,1152099,27243530,2850746,"southeast"
1932,1652065,1389406,22605600,5593734,"southeast"
1933,1010460,1223081,25783195,4547402,"southeast"
1934,1241883,1956014,50327890,3805510,"southeast"
1935,1892836,1759654,30247606,5083541,"southeast"
1936,2403397,1799813,50747387,7605896,"southeast"
1937,2187191,1399754,35166387,5556010,"southeast"
1938,2535417,2199625,30288240,4556394,"southeast"
1939,2487146,1122183,23721956,3388759,"southeast"
1940,1507340,1838309,29093692,4624767,"southeast"
1941,1674412,2515069,60061213,2959482,"southeast"
1942,1566489,2211103,33127200,5441724,"southeast"
1943,1123759,1680198,18038752,6833316,"southeast"
1944,1722276,1306203,19344068,6881172,"southeast"
1945,1683289,2587615,21654516,3318481,"southeast"
