Year,Area,Chinook,Sockeye,Coho,Pink,Chum
1882,Kodiak,  ,58800,  ,  ,  
1883,Kodiak,  ,188706,  ,  ,  
1884,Kodiak,  ,282184,  ,  ,  
1885,Kodiak,  ,468580,  ,  ,  
1886,Kodiak,  ,646100,  ,  ,  
1887,Kodiak,  ,1004500,  ,  ,  
1888,Kodiak,  ,2781100,  ,  ,  
1889,Kodiak,  ,3754735,  ,  ,  
1890,Kodiak,  ,3592707,  ,  ,  
1891,Kodiak,  ,3846388,  ,  ,  
1892,Kodiak,  ,3126459,  ,  ,  
1893,Kodiak,  ,3244609,  ,  ,  
1894,Kodiak,  ,3830336,  ,  ,  
1895,Kodiak,  ,2246966,8321,  ,  
1896,Kodiak,  ,3328846,  ,  ,  
1897,Kodiak,  ,2785515,1500,  ,  
1898,Kodiak,  ,2033094,19175,  ,  
1899,Kodiak,1104,1934771,32475,  ,  
1900,Kodiak,4838,3450480,32239,  ,  
1901,Kodiak,3838,4826159,  ,2015,  
1902,Kodiak,2932,3868101,34972,  ,  
1903,Kodiak,1187,1826163,119541,10000,  
1904,Kodiak,3190,2875118,103136,5180,  
1905,Kodiak,2496,2142367,86913,  ,  
1906,Kodiak,3640,3980462,23738,  ,  
1907,Kodiak,4015,4232454,38059,  ,  
1908,Kodiak,3028,2487848,73789,286374,  
1909,Kodiak,3907,1915230,51500,153595,  
1910,Kodiak,1598,1954717,44291,215382,  
1911,Kodiak,689,2685949,21870,229551,6492
1912,Kodiak,686,2246467,17491,547171,24588
1913,Kodiak,1082,1663163,27634,590039,3822
1914,Kodiak,1329,1255444,32063,1726411,13094
1915,Kodiak,939,1664426,51819,252073,20331
1916,Kodiak,1038,3373055,49683,3181890,28962
1917,Kodiak,1457,3645914,30485,225335,15961
1918,Kodiak,2021,1894466,78169,2467325,81699
1919,Kodiak,1831,1619101,104233,282715,60102
1920,Kodiak,1637,1957636,88970,1977421,55175
1921,Kodiak,660,2857922,45764,67688,24779
1922,Kodiak,703,1097359,119724,2766257,223970
1923,Kodiak,1915,1090117,77554,928510,38653
1924,Kodiak,1002,1407525,120686,5435091,117883
1925,Kodiak,1911,1693057,92960,2673675,212492
1926,Kodiak,596,3015366,174475,4606694,324706
1927,Kodiak,4358,1155202,151548,5297305,417956
1928,Kodiak,2546,1592003,290645,1535313,726480
1929,Kodiak,3200,712126,144226,6108402,1057662
1930,Kodiak,4991,466409,228800,1651398,419011
1931,Kodiak,1541,1183074,170075,6839906,183737
1932,Kodiak,1873,1058446,52192,4719939,237023
1933,Kodiak,1140,1428373,91428,6573660,536935
1934,Kodiak,1300,1828953,89588,7641891,661341
1935,Kodiak,1393,1613519,76849,10780612,381753
1936,Kodiak,2548,2657195,183903,5647726,328218
1937,Kodiak,1257,1881304,164902,16787150,346238
1938,Kodiak,1232,1965943,154959,8397981,640119
1939,Kodiak,2272,1786445,112171,11741218,641693
1940,Kodiak,1233,1318233,148016,9997899,673265
1941,Kodiak,2571,1730201,199515,7601531,444521
1942,Kodiak,1329,1281529,106865,6092526,564924
1943,Kodiak,1133,1990557,59661,12479608,454205
1944,Kodiak,668,1817875,51675,4955354,506703
1945,Kodiak,2021,2041090,60122,9044544,559332
1946,Kodiak,129,838863,56425,9545871,298486
1947,Kodiak,99,993394,76230,8856666,294518
1948,Kodiak,1401,1260465,32364,5968487,330795
1949,Kodiak,851,892336,53737,4927779,699548
1950,Kodiak,2127,920885,40653,5304701,685109
1951,Kodiak,2402,467875,48792,2100377,483057
1952,Kodiak,1081,603677,51567,4576726,1243227
1953,Kodiak,2991,317150,41681,5174645,547574
1954,Kodiak,942,325157,66430,8439231,1250833
1955,Kodiak,2428,164482,34582,10794164,482425
1956,Kodiak,1123,271249,52844,3318841,705047
1957,Kodiak,1030,234253,34995,4716482,1208472
1958,Kodiak,1942,288014,20555,4038938,930698
1959,Kodiak,1837,330087,14512,1967058,733784
1960,Kodiak,1238,362525,54308,6737817,1300386
1961,Kodiak,864,407979,28579,3926023,518935
1962,Kodiak,1095,784664,54583,14113851,794727
1963,Kodiak,286,407040,57011,5480158,305061
1964,Kodiak,1306,498488,35535,12044341,1134163
1965,Kodiak,786,346237,26672,2886831,431340
1966,Kodiak,599,631646,67700,10755582,762766
1967,Kodiak,1753,308756,10354,187813,226681
1968,Kodiak,1936,760393,56629,8768122,750428
1969,Kodiak,2469,591481,48759,12500823,534933
1970,Kodiak,1089,917045,66421,12035549,919102
1971,Kodiak,920,478479,22844,4334492,1541444
1972,Kodiak,1300,222408,16587,2478064,1163426
1973,Kodiak,800,167341,3573,511708,317921
1974,Kodiak,545,418761,13631,2647196,249294
1975,Kodiak,101,136418,23659,2942801,84431
1976,Kodiak,766,641484,23714,11077992,740495
