year,sockeye,pink,chum,coho,chinook,area,source
1965,8813800,15341800,6018900,13866400,4384000,northcoast_bc,npafc
1966,11219600,59175800,14320500,16433000,4403300,northcoast_bc,npafc
1967,17188300,7563300,9730600,7870600,4913200,northcoast_bc,npafc
1968,32044400,44299300,26028600,14481200,5204900,northcoast_bc,npafc
1969,10357800,4238600,6509400,5745200,4390700,northcoast_bc,npafc
1970,1216300,10848600,2484300,1344900,327300,northcoast_bc,npafc
1971,1948700,2104400,1010900,1095000,350300,northcoast_bc,npafc
1972,1748400,13359300,2447000,1612100,452600,northcoast_bc,npafc
1973,4345400,2023400,2683500,947900,365200,northcoast_bc,npafc
1974,2706400,5639700,1505900,885800,406200,northcoast_bc,npafc
1975,1065300,1484800,447600,552400,418800,northcoast_bc,npafc
1976,1896400,6187100,629500,925500,362900,northcoast_bc,npafc
1977,2589000,5157000,852400,577200,320000,northcoast_bc,npafc
1978,1710400,9033500,1172500,1062700,322000,northcoast_bc,npafc
1979,2176500,3557200,702600,891800,360100,northcoast_bc,npafc
1980,973300,6777600,1589800,920400,305200,northcoast_bc,npafc
1981,2964800,6659800,787000,671700,283700,northcoast_bc,npafc
1982,2938500,2162600,832000,701800,338900,northcoast_bc,dfo_ccss
1983,1306600,12415400,637600,1227400,260900,northcoast_bc,dfo_ccss
1984,1279000,6401800,1199900,848200,273100,northcoast_bc,dfo_ccss
1985,3466100,9661600,2162600,855200,300400,northcoast_bc,dfo_ccss
1986,1728300,17204500,2965000,1784500,278700,northcoast_bc,dfo_ccss
1987,1942600,10263300,1337300,876900,269300,northcoast_bc,dfo_ccss
1988,2886300,21626900,2909200,562200,226200,northcoast_bc,dfo_ccss
1989,1752200,7904900,843800,800300,273600,northcoast_bc,dfo_ccss
1990,2669600,12760100,1561700,1409900,239100,northcoast_bc,dfo_ccss
1991,3123100,17151500,1048400,1295800,291200,northcoast_bc,dfo_ccss
1992,4343300,8936900,743300,789000,231900,northcoast_bc,dfo_ccss
1993,4826000,4860800,1371700,526300,230500,northcoast_bc,dfo_ccss
1994,2438500,1969000,1477200,1035200,213900,northcoast_bc,dfo_ccss
1995,3556900,7983800,1817300,452900,99700,northcoast_bc,dfo_ccss
1996,4818600,5638100,920600,501400,40300,northcoast_bc,npafc
1997,2438100,2371900,629400,214300,119700,northcoast_bc,npafc
1998,395700,2325000,1553300,1000,132600,northcoast_bc,npafc
1999,445600,6048500,674000,4200,62700,northcoast_bc,npafc
2000,2392600,3077400,317900,9200,36000,northcoast_bc,npafc
2001,2206400,5525200,616500,11500,45200,northcoast_bc,npafc
2002,1293600,5204000,955000,125800,123400,northcoast_bc,npafc
2003,1194600,9321200,1426000,239100,157900,northcoast_bc,npafc
2004,659100,2248300,1570400,349600,187000,northcoast_bc,npafc
2005,205200,7959200,753400,410600,166700,northcoast_bc,npafc
2006,1255400,730200,571300,144400,139300,northcoast_bc,npafc
2007,643400,6544500,297400,269400,91900,northcoast_bc,npafc
2008,738700,216800,31400,76700,52700,northcoast_bc,npafc
2009,169700,8389000,133900,238400,79300,northcoast_bc,npafc
2010,142900,578300,39100,139200,88800,northcoast_bc,npafc
2011,531900,1302900,353400,323900,79900,northcoast_bc,npafc
2012,655300,778600,381400,216100,85800,northcoast_bc,npafc
2013,155000,9456500,601900,445300,77500,northcoast_bc,npafc
2014,702200,3652300,261000,216400,177700,northcoast_bc,npafc
2015,227800,1151000,1210800,277100,115300,northcoast_bc,npafc
2016,233900,1758300,572700,257600,154300,northcoast_bc,npafc
2017,39400,1609500,394100,353600,102500,northcoast_bc,npafc
2018,124200,198600,502600,177700,75400,northcoast_bc,npafc
2019,22600,128000,168100,179800,49400,northcoast_bc,npafc
2020,26600,1916700,14900,89600,34800,northcoast_bc,npafc
2021,73,241502,14354,67360,66154,northcoast_bc,prelim
